[47402.0, 1100.0, 34000.0, 3.0, 2001.0, 2.0, 980.0]
[47402.0, 1000.0, 45000.0, 0.0, 2004.0, 2.0, 1093.0]
[47402.0, 760.0, 36000.0, 3.0, 1998.0, 2.0, 840.0]
[47405.0, 1200.0, 37800.0, 2.0, 1995.0, 3.0, 621.0]
[47403.0, 1100.0, 23556.0, 3.0, 2002.0, 4.0, 980.0]
[47403.0, 1200.0, 45000.0, 3.0, 1999.0, 2.0, 1196.0]
[47402.0, 990.0, 47000.0, 3.0, 2000.0, 4.0, 12131.0]
[47403.0, 1200.0, 49032.0, 3.0, 2000.0, 2.0, 754.0]
[47402.0, 1000.0, 45000.0, 0.0, 2004.0, 2.0, 1196.0]
[47403.0, 1030.0, 45700.0, 1.0, 2007.0, 1.0, 1300.0]
